Seconds	CPU	HD0	Core 0	Core 1	Core 2	Core 3
39818	123.5	48.0	47.0	47.0	49.0	48.0
39821	123.5	48.0	47.0	47.0	49.0	48.0
39825	123.5	48.0	47.0	47.0	48.0	48.0
39828	123.5	48.0	46.0	46.0	46.0	47.0
39831	123.5	48.0	47.0	47.0	49.0	48.0
39834	123.5	48.0	47.0	47.0	48.0	48.0
39837	123.5	48.0	46.0	46.0	47.0	47.0
39840	123.5	48.0	47.0	47.0	48.0	47.0
39843	123.5	48.0	46.0	46.0	47.0	47.0
39846	123.5	48.0	47.0	47.0	48.0	47.0
39849	123.5	48.0	46.0	46.0	46.0	46.0
39852	123.5	48.0	46.0	46.0	47.0	47.0
39855	123.5	48.0	47.0	47.0	47.0	47.0
39858	123.5	48.0	46.0	46.0	48.0	47.0
39861	123.5	48.0	46.0	46.0	47.0	47.0
39864	123.5	48.0	46.0	47.0	47.0	47.0
39867	123.5	48.0	46.0	46.0	47.0	47.0
39870	123.5	48.0	47.0	47.0	48.0	48.0
39874	123.5	48.0	47.0	47.0	49.0	48.0
39877	123.5	48.0	46.0	46.0	48.0	48.0
39880	123.5	48.0	47.0	47.0	48.0	47.0
39883	123.5	48.0	47.0	47.0	48.0	48.0
39886	123.5	48.0	47.0	47.0	48.0	48.0
39889	123.5	48.0	47.0	47.0	49.0	48.0
39892	123.5	48.0	47.0	47.0	49.0	48.0
39895	123.5	48.0	47.0	47.0	48.0	48.0
39898	123.5	48.0	46.0	46.0	48.0	48.0
39901	123.5	48.0	47.0	47.0	49.0	48.0
39904	123.5	48.0	47.0	47.0	48.0	48.0
39907	123.5	48.0	46.0	46.0	48.0	48.0
39910	123.5	48.0	47.0	47.0	48.0	48.0
39913	123.5	48.0	47.0	47.0	48.0	48.0
39916	123.5	48.0	47.0	47.0	48.0	48.0
39919	123.5	48.0	47.0	47.0	48.0	48.0
39923	123.5	48.0	47.0	47.0	48.0	48.0
39926	123.5	48.0	47.0	47.0	48.0	48.0
39929	123.5	48.0	47.0	47.0	48.0	48.0
39932	123.5	48.0	47.0	47.0	48.0	48.0
39935	123.5	48.0	47.0	47.0	48.0	48.0
39938	123.5	48.0	48.0	48.0	48.0	48.0
39941	123.5	48.0	48.0	48.0	48.0	48.0
39944	123.5	48.0	47.0	47.0	48.0	48.0
39947	123.5	48.0	47.0	47.0	48.0	48.0
39950	123.5	48.0	47.0	47.0	48.0	48.0
39953	123.5	48.0	47.0	47.0	48.0	48.0
39956	123.5	48.0	47.0	47.0	48.0	48.0
39959	123.5	48.0	47.0	47.0	48.0	48.0
39962	123.5	48.0	48.0	48.0	48.0	48.0
39965	123.5	48.0	48.0	48.0	48.0	48.0
39968	123.5	48.0	48.0	48.0	48.0	48.0
39972	123.5	48.0	48.0	48.0	48.0	48.0
39975	123.5	48.0	48.0	48.0	48.0	49.0
39978	123.5	48.0	48.0	48.0	48.0	48.0
39981	123.5	48.0	48.0	48.0	48.0	48.0
39984	123.5	48.0	48.0	48.0	49.0	49.0
39987	123.5	48.0	48.0	48.0	49.0	49.0
39990	123.5	48.0	48.0	48.0	49.0	49.0
39993	123.5	48.0	48.0	48.0	49.0	49.0
39996	123.5	48.0	48.0	48.0	48.0	48.0
39999	123.5	48.0	48.0	48.0	48.0	49.0
40002	123.5	48.0	48.0	48.0	48.0	48.0
40005	123.5	48.0	48.0	48.0	49.0	49.0
40008	123.5	48.0	48.0	48.0	48.0	48.0
40011	123.5	48.0	48.0	48.0	49.0	49.0
40014	123.5	48.0	48.0	48.0	48.0	48.0
40017	123.5	48.0	48.0	48.0	48.0	48.0
40021	123.5	48.0	48.0	48.0	49.0	49.0
40024	123.5	48.0	48.0	48.0	48.0	48.0
40027	123.5	48.0	48.0	48.0	49.0	49.0
40030	123.5	48.0	48.0	48.0	49.0	49.0
40033	123.5	48.0	48.0	48.0	49.0	49.0
40036	123.5	48.0	48.0	48.0	49.0	49.0
40039	123.5	48.0	48.0	48.0	49.0	49.0
40042	123.5	48.0	48.0	48.0	49.0	48.0
40045	123.5	48.0	48.0	48.0	48.0	48.0
40048	123.5	48.0	48.0	48.0	49.0	49.0
40051	123.5	48.0	48.0	48.0	49.0	49.0
40054	123.5	48.0	49.0	49.0	49.0	49.0
40057	123.5	48.0	49.0	49.0	51.0	50.0
40060	123.5	48.0	49.0	49.0	49.0	49.0
40063	123.5	48.0	48.0	48.0	49.0	49.0
40066	123.5	48.0	49.0	49.0	50.0	50.0
40070	123.5	48.0	49.0	49.0	49.0	49.0
40073	123.5	48.0	48.0	48.0	49.0	49.0
40076	123.5	48.0	49.0	49.0	50.0	49.0
40079	123.5	48.0	48.0	48.0	49.0	49.0
40082	123.5	48.0	49.0	49.0	50.0	50.0
40085	123.5	48.0	49.0	49.0	49.0	49.0
40088	123.5	48.0	48.0	49.0	49.0	49.0
40091	123.5	48.0	49.0	49.0	49.0	49.0
40094	123.5	48.0	49.0	49.0	50.0	50.0
40097	123.5	48.0	49.0	49.0	49.0	49.0
40100	123.5	48.0	48.0	48.0	49.0	49.0
40103	123.5	48.0	48.0	48.0	49.0	49.0
40106	123.5	48.0	48.0	48.0	49.0	49.0
40109	123.5	48.0	48.0	48.0	49.0	49.0
40112	123.5	48.0	48.0	48.0	49.0	49.0
40115	123.5	48.0	50.0	50.0	52.0	51.0
40119	123.5	48.0	50.0	50.0	51.0	51.0
40122	123.5	48.0	50.0	50.0	51.0	51.0
40125	123.5	48.0	49.0	49.0	51.0	51.0
40128	123.5	48.0	49.0	49.0	50.0	50.0
40131	123.5	48.0	49.0	49.0	49.0	49.0
40134	123.5	48.0	48.0	48.0	49.0	49.0
40137	123.5	48.0	48.0	48.0	49.0	49.0
40140	123.5	48.0	49.0	49.0	50.0	50.0
40143	123.5	48.0	49.0	49.0	50.0	50.0
40146	123.5	48.0	49.0	49.0	50.0	50.0
40149	123.5	48.0	49.0	49.0	49.0	49.0
40152	123.5	48.0	49.0	49.0	49.0	49.0
40155	123.5	48.0	49.0	49.0	49.0	49.0
40158	123.5	48.0	48.0	48.0	49.0	49.0
40161	123.5	48.0	49.0	49.0	49.0	49.0
40164	123.5	48.0	49.0	49.0	49.0	49.0
40168	123.5	48.0	49.0	49.0	49.0	49.0
40171	123.5	48.0	49.0	49.0	50.0	50.0
40174	123.5	48.0	48.0	49.0	50.0	50.0
40177	123.5	48.0	49.0	49.0	50.0	50.0
40180	123.5	48.0	49.0	49.0	50.0	50.0
40183	123.5	48.0	49.0	49.0	50.0	50.0
40186	123.5	48.0	49.0	49.0	50.0	50.0
40189	123.5	48.0	48.0	49.0	50.0	50.0
40192	123.5	48.0	49.0	49.0	50.0	50.0
40195	123.5	48.0	49.0	49.0	50.0	50.0
40198	123.5	48.0	49.0	49.0	50.0	50.0
40201	123.5	48.0	49.0	49.0	50.0	50.0
40204	123.5	48.0	49.0	49.0	50.0	50.0
40207	123.5	48.0	49.0	49.0	51.0	50.0
40210	123.5	48.0	49.0	49.0	50.0	50.0
40213	123.5	48.0	49.0	49.0	50.0	50.0
40217	123.5	48.0	49.0	49.0	50.0	50.0
40220	123.5	48.0	49.0	49.0	50.0	50.0
40223	123.5	48.0	49.0	49.0	50.0	50.0
40226	123.5	48.0	49.0	49.0	50.0	50.0
40229	123.5	48.0	49.0	49.0	50.0	50.0
40232	123.5	48.0	49.0	49.0	50.0	50.0
40235	123.5	48.0	49.0	49.0	50.0	50.0
40238	123.5	48.0	49.0	49.0	50.0	50.0
40241	123.5	48.0	51.0	51.0	51.0	51.0
40244	123.5	48.0	50.0	50.0	50.0	50.0
40247	123.5	48.0	50.0	50.0	50.0	50.0
40250	123.5	48.0	50.0	50.0	51.0	50.0
40253	123.5	48.0	50.0	50.0	50.0	50.0
40256	123.5	48.0	49.0	49.0	50.0	50.0
40259	123.5	48.0	49.0	49.0	51.0	50.0
40262	123.5	48.0	50.0	50.0	51.0	50.0
40266	123.5	48.0	50.0	50.0	51.0	51.0
40269	123.5	48.0	49.0	49.0	51.0	51.0
40272	123.5	48.0	49.0	49.0	50.0	50.0
40275	123.5	48.0	50.0	50.0	51.0	51.0
40278	123.5	48.0	50.0	50.0	50.0	50.0
40281	123.5	48.0	50.0	50.0	50.0	50.0
40284	123.5	48.0	50.0	50.0	51.0	51.0
40287	123.5	48.0	50.0	50.0	51.0	51.0
40290	123.5	48.0	51.0	51.0	51.0	51.0
40293	123.5	48.0	50.0	50.0	51.0	51.0
40296	123.5	48.0	50.0	50.0	51.0	51.0
40299	123.5	48.0	50.0	50.0	50.0	51.0
40302	123.5	48.0	51.0	51.0	53.0	52.0
40305	123.5	48.0	51.0	51.0	51.0	51.0
40308	123.5	48.0	51.0	51.0	50.0	50.0
40311	123.5	48.0	50.0	50.0	51.0	51.0
40315	123.5	48.0	51.0	51.0	53.0	53.0
40318	123.5	48.0	51.0	51.0	52.0	52.0
40321	123.5	48.0	50.0	50.0	51.0	51.0
40324	123.5	48.0	50.0	50.0	51.0	51.0
40327	123.5	48.0	50.0	50.0	51.0	51.0
40330	123.5	48.0	50.0	50.0	51.0	51.0
40333	123.5	48.0	51.0	51.0	53.0	51.0
40336	123.5	48.0	51.0	51.0	53.0	51.0
40339	123.5	48.0	50.0	50.0	51.0	51.0
40342	123.5	48.0	51.0	51.0	51.0	51.0
40345	123.5	48.0	50.0	50.0	52.0	52.0
40348	123.5	48.0	51.0	51.0	52.0	51.0
40351	123.5	48.0	50.0	50.0	51.0	51.0
40354	123.5	48.0	51.0	51.0	52.0	52.0
40357	123.5	48.0	51.0	51.0	52.0	52.0
40360	123.5	48.0	50.0	50.0	51.0	51.0
40364	123.5	48.0	51.0	51.0	52.0	52.0
40367	123.5	48.0	51.0	51.0	52.0	52.0
40370	123.5	48.0	51.0	51.0	52.0	52.0
40373	123.5	48.0	51.0	51.0	51.0	51.0
40376	123.5	48.0	51.0	51.0	51.0	51.0
40379	123.5	48.0	51.0	51.0	51.0	51.0
40382	123.5	48.0	51.0	51.0	51.0	51.0
40385	123.5	48.0	50.0	50.0	51.0	51.0
40388	123.5	48.0	50.0	50.0	51.0	51.0
40391	123.5	48.0	50.0	50.0	51.0	51.0
40394	123.5	48.0	51.0	51.0	51.0	51.0
40397	123.5	48.0	51.0	51.0	51.0	51.0
40400	123.5	48.0	51.0	51.0	51.0	51.0
40403	123.5	48.0	51.0	51.0	51.0	51.0
40406	123.5	48.0	50.0	50.0	51.0	51.0
40409	123.5	48.0	50.0	50.0	51.0	51.0
40413	123.5	48.0	51.0	51.0	51.0	51.0
40416	123.5	48.0	51.0	51.0	52.0	52.0
40419	123.5	48.0	51.0	51.0	52.0	52.0
40422	123.5	48.0	51.0	51.0	52.0	52.0
